@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE mcsDown REAL
@ATTRIBUTE brateDown REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE mcsUp REAL
@ATTRIBUTE brateUp REAL
@ATTRIBUTE blerUp REAL

@ATTRIBUTE class {320,480,640,768,1024,1280,1920}


@DATA
10.6,12.4,139000.0,2.7,2.55,35.5,0.0,53.3,23,320
15.0,26.8,1140000.0,0,6.92,36.9,1.93,292,3.8,1280
14.5,26.0,821000.0,1.6,8.71,32.6,4.10,205,1.5,1280
14.6,24.3,278,12,1.23,34.3,0.0,20.2,76,1280
12.5,23.4,994,25,1.20,34.0,0.0,28.7,47,320
15.0,26.6,1750000.0,1.5,6.02,36.0,1.41,409,5.6,1280
13.9,24.4,1100000.0,3.9,8.62,33.6,3.62,263,0,1280
13.8,21.6,24.2,0,1.11,31.0,0.0,1.57,90,1280
14.3,18.0,120000.0,7.6,2.29,34.0,0.0,42.9,36,320
15.0,26.6,1600000.0,0,6.22,36.6,1.36,400,1.9,1280
14.0,25.7,1120000.0,1.9,9.03,32.8,4.13,260,0,1280
15.0,20.2,24.6,0,1.30,32.7,0.0,21.8,67,1280
12.7,22.7,348000.0,12,2.29,35.6,0.0,107,37,320
15.0,27.0,1780000.0,1.0,6.31,36.8,1.39,437,1.2,1280
15.0,27.0,843000.0,0,9.02,31.2,3.77,199,0,1280
