@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE mcsDown REAL
@ATTRIBUTE brateDown REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE mcsUp REAL
@ATTRIBUTE brateUp REAL
@ATTRIBUTE blerUp REAL

@ATTRIBUTE class {320,640,480,768,1024,1280,1920}


@DATA
15.0,26.9,191000.0,3.5,5.95,27.5,2.94,31.4,15,1280
15.0,26.5,1180000.0,1.8,6.88,30.9,2.59,260,6.2,1280
15.0,26.0,882000.0,0,7.09,31.5,2.46,212,4.5,1280
15.0,26.1,1110000.0,0,7.25,28.7,2.45,291,2.9,1280
15.0,26.4,1390000.0,0,9.27,34.1,3.59,322,1.7,1280
15.0,26.2,792000.0,0,7.83,30.6,3.39,200,10,1920
15.0,26.4,1660000.0,0,8.89,29.9,3.13,386,2.4,1920
15.0,26.8,1019999.0,2.5,6.44,33.2,2.69,201,11,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,25.0,193000.0,5.8,6.56,30.8,1.95,137,7.3,1280
15.0,25.3,217000.0,0,7.67,32.1,4.77,146,21,1280
15.0,26.0,796000.0,1.8,6.95,29.3,2.29,226,8.5,1280
15.0,26.1,1350000.0,0,7.61,29.5,2.61,300,1.6,1280
15.0,26.4,1739999.0,0,8.88,31.1,3.61,356,4.4,1280
15.0,25.3,401999.0,0,8.21,32.8,2.80,199,5.8,1280
15.0,26.1,917000.0,0,7.48,28.5,2.42,242,2.4,1280
15.0,26.3,1120000.0,1.5,6.55,29.4,2.29,281,12,1280
15.0,25.5,388000.0,0,9.27,32.7,6.01,116,25,1280
15.0,25.6,673000.0,0,7.93,31.8,2.75,186,1.8,1280
15.0,25.6,412000.0,2.9,6.82,30.8,2.91,125,16,1280
15.0,26.0,958000.0,0,7.56,30.7,2.52,281,7.4,1920
15.0,26.3,1090000.0,0,7.26,33.8,2.38,256,5.8,1920
15.0,26.4,919000.0,1.1,7.12,31.7,2.68,229,8.1,1920
15.0,26.2,1400000.0,1.9,7.19,32.4,2.43,341,7.7,1920
15.0,26.7,1939999.0,0,6.65,28.1,2.03,364,2.5,1920
15.0,26.6,824000.0,0,6.28,31.9,2.57,217,18,1920
15.0,26.6,1620000.0,0,8.16,30.0,3.17,353,7.5,1920
14.7,25.9,1280000.0,0,7.59,27.5,2.43,241,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,5.33,840,0,6.71,33.0,1.00,2.13,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,25.7,554000.0,2.9,7.37,35.2,2.71,163,14,1280
15.0,26.8,1650000.0,1.0,7.07,31.1,2.55,323,4.4,1280
15.0,26.7,975000.0,0,6.61,29.0,2.25,308,9.2,1280
15.0,25.6,740000.0,2.7,7.17,31.5,3.40,238,13,1280
15.0,25.1,336000.0,0,7.70,30.6,4.08,147,10,1280
15.0,25.9,1019999.0,1.8,7.66,29.4,2.93,239,9.0,1280
15.0,26.1,1360000.0,0,8.90,30.4,3.24,346,0,1280
15.0,26.8,1700000.0,0,7.42,28.1,2.42,335,1.0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,26.1,734000.0,1.3,6.96,32.8,3.31,189,15,1920
15.0,26.8,1770000.0,0,6.70,29.1,2.13,358,3.7,1920
15.0,26.7,1140000.0,0,6.62,30.8,1.91,256,4.7,1920
15.0,26.7,1920000.0,0,6.92,30.2,1.94,382,3.8,1920
15.0,26.7,1250000.0,0,7.51,30.4,2.94,264,5.4,1920
15.0,26.7,2000000.0,0,7.89,29.2,2.72,393,0,1920
15.0,26.9,1650000.0,1.3,6.96,31.0,2.03,332,4.4,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,26.5,942000.0,0,7.08,29.7,2.53,222,4.3,1280
15.0,26.9,2089999.0,0,7.06,29.3,2.19,412,1.1,1280
15.0,26.7,617000.0,0,7.21,28.3,2.19,116,1.4,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,26.4,746000.0,0,6.89,29.5,2.73,178,10.0,1920
15.0,27.0,1730000.0,0,6.87,30.2,1.87,346,1.9,1920
15.0,26.9,1100000.0,1.3,6.55,31.2,1.67,223,3.8,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,25.8,497000.0,1.4,5.58,30.2,2.06,220,13,1920
15.0,26.0,606000.0,2.7,7.23,32.7,2.40,172,10,1920
15.0,25.9,1019999.0,1.3,6.83,30.5,2.31,308,5.7,1920
15.0,22.6,102000.0,6.5,11.5,32.1,8.89,45.4,26,1920
14.5,23.0,607000.0,1.6,5.88,33.3,2.29,162,17,1920
15.0,25.9,614000.0,1.5,6.21,30.9,1.88,254,11,1920
15.0,25.4,475000.0,0,6.92,30.6,2.63,184,9.0,1920
14.4,22.5,339000.0,2.7,8.06,34.9,4.09,103,17,1920
15.0,25.5,723000.0,3.6,7.61,31.9,4.26,227,17,1920
14.4,24.5,507000.0,3.5,8.52,33.2,6.02,151,20,1920
15.0,26.0,768000.0,2.3,6.53,28.7,2.78,190,10,1920
15.0,24.5,141000.0,3.8,7.00,33.5,4.96,83.8,33,1920
15.0,25.2,467000.0,3.2,5.48,31.0,2.09,154,21,1920
15.0,26.0,685000.0,1.0,6.53,28.7,1.99,182,6.2,1920
15.0,26.0,758000.0,2.0,5.90,28.4,1.90,188,9.2,1920
15.0,25.6,354000.0,1.2,7.03,30.3,2.55,139,12,1920
15.0,25.9,685000.0,3.3,6.57,33.3,3.49,189,19,1920
15.0,25.9,1019999.0,2.0,6.97,29.9,2.45,285,8.3,1920
15.0,26.5,1260000.0,3.1,6.62,31.4,2.38,298,11,1920
15.0,26.3,1150000.0,2.1,6.40,29.3,2.15,286,7.5,1024
14.7,25.6,1080000.0,0,7.74,30.4,3.09,296,6.5,1024
14.9,25.9,688000.0,2.8,6.11,34.0,2.76,166,17,1024
15.0,26.3,664000.0,4.3,6.79,30.5,2.33,244,11,1024
15.0,26.7,1480000.0,1.0,6.40,29.5,1.89,308,6.4,768
15.0,25.8,727000.0,0,7.73,28.7,2.80,219,2.3,768
15.0,26.1,784000.0,0,6.32,30.1,1.98,193,8.6,768
15.0,26.6,1650000.0,0,6.55,29.0,2.01,344,4.3,768
15.0,26.4,710000.0,0,6.98,28.1,2.03,152,3.1,1024
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
